Verilator Statistics Report

Information:
  Verilator 4.210 2021-07-07 rev v4.210
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=3 +define+BENCHMARK=0 -I/home/tela/Arch2025/lab5/build/../vsrc --x-assign unique -O3 -CFLAGS -g -std=c++2a -static -Wall -I/home/tela/Arch2025/lab5/difftest/src/test/csrc -I/home/tela/Arch2025/lab5/difftest/src/test/csrc/common -I/home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 --trace-fst --trace-structs --no-trace-params -y ../vsrc/ram -o /home/tela/Arch2025/lab5/build/emu -Mdir ../build/emu-compile ../build/../vsrc/SimTop.sv ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/ram.sv ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/ref.v ./src/test/vsrc/common/difftest.v /home/tela/Arch2025/lab5/difftest/src/test/csrc/verilator/main.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/verilator/emu.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/verilator/snapshot.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/vcs/main.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/sdcard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/keyboard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/flash.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/remote_bitbang.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/SimJTAG.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/axi4.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/vga.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/common.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/compress.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/uart.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/ram.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/device.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/difftest.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/spikedasm.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/goldenmem.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/ref.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/interface.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/sdcard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/keyboard.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/flash.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/remote_bitbang.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/SimJTAG.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/axi4.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/vga.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/common.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/compress.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/uart.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/ram.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/common/device.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/difftest.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/spikedasm.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/goldenmem.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/ref.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/interface.cpp /home/tela/Arch2025/lab5/difftest/src/test/csrc/difftest/nemuproxy.cpp
  Stage, Memory (MB), 031_scope                       33.406250
  Stage, Memory (MB), 032_linkdot                     33.406250
  Stage, Memory (MB), 033_class                       33.406250
  Stage, Memory (MB), 034_const                       33.406250
  Stage, Memory (MB), 035_deadDtypesScoped            33.406250
  Stage, Memory (MB), 036_case                        33.406250
  Stage, Memory (MB), 037_task                        33.406250
  Stage, Memory (MB), 038_name                        33.406250
  Stage, Memory (MB), 039_unroll                      33.406250
  Stage, Memory (MB), 040_slice                       34.406250
  Stage, Memory (MB), 041_const                       34.406250
  Stage, Memory (MB), 042_life                        34.406250
  Stage, Memory (MB), 043_table                       34.406250
  Stage, Memory (MB), 044_const                       34.406250
  Stage, Memory (MB), 045_deadDtypesScoped            34.406250
  Stage, Memory (MB), 046_active                      34.406250
  Stage, Memory (MB), 047_split                       45.406250
  Stage, Memory (MB), 048_splitas                     45.406250
  Stage, Memory (MB), 049_tracedecl                   45.406250
  Stage, Memory (MB), 050_gate                        45.406250
  Stage, Memory (MB), 051_const                       45.406250
  Stage, Memory (MB), 052_deadAllScoped               45.406250
  Stage, Memory (MB), 053_reorder                     45.406250
  Stage, Memory (MB), 054_delayed                     45.406250
  Stage, Memory (MB), 055_activetop                   45.406250
  Stage, Memory (MB), 056_order                       48.406250
  Stage, Memory (MB), 057_genclk                      48.406250
  Stage, Memory (MB), 058_clock                       48.406250
  Stage, Memory (MB), 059_const                       48.406250
  Stage, Memory (MB), 060_life                        48.406250
  Stage, Memory (MB), 061_life_post                   48.406250
  Stage, Memory (MB), 062_const                       48.406250
  Stage, Memory (MB), 063_deadAllScoped               48.406250
  Stage, Memory (MB), 064_changed                     48.406250
  Stage, Memory (MB), 065_trace                       50.406250
  Stage, Memory (MB), 066_localize                    51.781250
  Stage, Memory (MB), 067_descope                     51.781250
  Stage, Memory (MB), 068_combine                     51.781250
  Stage, Memory (MB), 069_const                       51.781250
  Stage, Memory (MB), 070_deadAll                     51.781250
  Stage, Memory (MB), 071_clean                       51.781250
  Stage, Memory (MB), 072_premit                      51.781250
  Stage, Memory (MB), 073_expand                      80.781250
  Stage, Memory (MB), 074_const_cpp                   80.781250
  Stage, Memory (MB), 075_subst                       80.781250
  Stage, Memory (MB), 076_const_cpp                   80.781250
  Stage, Memory (MB), 077_deadAll                     80.781250
  Stage, Memory (MB), 078_merge_cond                  80.781250
  Stage, Memory (MB), 079_reloop                      80.781250
  Stage, Memory (MB), 080_depth                       80.781250
  Stage, Memory (MB), 081_cast                        80.781250
  Stage, Memory (MB), 082_cuse                        80.781250

Stage Statistics:
  Stat                                                                         Link       PreOrder   Scoped     Final      Final_Fast
  --------                                                                     -------    -------    -------    -------    -------  

  Branch prediction,                                                                81        570        571        545        101
  Branch prediction, VL_UNLIKELY                                                                           2         44          4

  Instruction count, TOTAL                                                       12813     346006     363183     650901     166367
  Instruction count, fast critical                                                   0      18294     167261     325419     166318

  Node count, ACTIVE                                                                           34
  Node count, ADD                                                                   38         72         72        190         70
  Node count, ADDROFCFUNC                                                                                  3          3
  Node count, ALWAYS                                                                49        138
  Node count, ALWAYSPOST                                                                        1
  Node count, AND                                                                   33        324        343       6658       1280
  Node count, ARG                                                                  235
  Node count, ARRAYSEL                                                                       8260       8277       8283       8232
  Node count, ASSIGN                                                               754       4811       4816       6515       4707
  Node count, ASSIGNDLY                                                            185       4201       4198       4152       4112
  Node count, ASSIGNPOST                                                                       27         15         10         10
  Node count, ASSIGNPRE                                                                        29         17         12         12
  Node count, ASSIGNW                                                               61         62         62         20         10
  Node count, ATTROF                                                               347
  Node count, BASICDTYPE                                                           734         90         87         93
  Node count, BEGIN                                                                454
  Node count, BRACKETARRAYDTYPE                                                      2
  Node count, CASE                                                                  49
  Node count, CASEITEM                                                             314
  Node count, CASTPARSE                                                              3
  Node count, CCALL                                                                            29         37         36         12
  Node count, CCAST                                                                                                9513       2459
  Node count, CELL                                                                  24          3          1          1
  Node count, CFILE                                                                                                  18
  Node count, CFUNC                                                                            38         55         57         12
  Node count, CHANGEDET                                                                                    1          1
  Node count, CMATH                                                                            69         69         69          5
  Node count, COMMENT                                                                         117        117        117
  Node count, CONCAT                                                               118        406        406
  Node count, COND                                                                  31        540        541        857        355
  Node count, CONDBOUND                                                                         8          8          4          1
  Node count, CONST                                                               1921      18749      18555      35542      14324
  Node count, CONSTPOOL                                                              1          1          1          1
  Node count, CRESET                                                                                                 97
  Node count, CRETURN                                                                                      1          1
  Node count, CSTMT                                                                           439        447        451        143
  Node count, CUSE                                                                                                    3
  Node count, DISPLAY                                                                7         38         38         38          4
  Node count, ENUMDTYPE                                                             10         10         10          8
  Node count, ENUMITEM                                                             109        109        109        104
  Node count, ENUMITEMREF                                                          396
  Node count, EQ                                                                    91        683        702        725        148
  Node count, EXTEND                                                                           44         46          1          1
  Node count, FFLUSH                                                                 2          2          2          2
  Node count, FINISH                                                                 3          5          5          5
  Node count, FUNC                                                                   5
  Node count, FUNCREF                                                                6
  Node count, GENFOR                                                                 2
  Node count, GT                                                                     6          1          1          1
  Node count, GTE                                                                    8         10         10         22          9
  Node count, GTES                                                                              2          2          2          1
  Node count, GTS                                                                               5          5          5          2
  Node count, IF                                                                    81        570        573        589        105
  Node count, INITIAL                                                                6          7
  Node count, INSIDE                                                                 8
  Node count, JUMPBLOCK                                                              1          2          2          2          1
  Node count, JUMPGO                                                                 1          2          2          2          1
  Node count, JUMPLABEL                                                              1          2          2          2          1
  Node count, LOGAND                                                                54
  Node count, LOGNOT                                                                 3
  Node count, LOGOR                                                                 45
  Node count, LT                                                                    12         11         11         11          4
  Node count, LTE                                                                               4          4          6          1
  Node count, LTS                                                                               4          4          4          2
  Node count, MEMBERDTYPE                                                           99         72         72         72
  Node count, MEMBERSEL                                                           1460
  Node count, MODDIV                                                                 5          5          5          5          1
  Node count, MODULE                                                                37          2          2          2
  Node count, MUL                                                                    1         16         16        126         59
  Node count, NEGATE                                                                                                418        148
  Node count, NEQ                                                                   28         59         59         64          6
  Node count, NETLIST                                                                1          1          1          1
  Node count, NOT                                                                   54        269        282        288         58
  Node count, ONEHOT0                                                                          58         58         58          5
  Node count, OR                                                                     6        200        215       4467       1039
  Node count, PACKAGE                                                                4          3          1          1
  Node count, PACKARRAYDTYPE                                                         5          5          5          5
  Node count, PARSEREF                                                             228
  Node count, PIN                                                                  198
  Node count, PORT                                                                 175
  Node count, POW                                                                    4
  Node count, RAND                                                                   6          8          8          8          1
  Node count, RANGE                                                                282          7          8          8
  Node count, REDAND                                                                 1
  Node count, REDOR                                                                  1          2          2
  Node count, REFDTYPE                                                             296        239        213        193
  Node count, REPLICATE                                                            140        154        154
  Node count, SCOPE                                                                  1          5          3          3
  Node count, SCOPENAME                                                                        29         29         29          4
  Node count, SEL                                                                            4406       4294
  Node count, SELBIT                                                               202
  Node count, SELEXTRACT                                                           117
  Node count, SELMINUS                                                              29
  Node count, SENITEM                                                               25          4
  Node count, SENTREE                                                               25          4
  Node count, SFORMATF                                                               7         38         38         38          4
  Node count, SHIFTL                                                                 6         11         11       3924        906
  Node count, SHIFTR                                                                 7         13         13       3865        811
  Node count, SHIFTRS                                                                2          2          2          2          1
  Node count, SIGNED                                                                11
  Node count, STOP                                                                             29         29         29          4
  Node count, STRUCTDTYPE                                                           15         13         13         13
  Node count, SUB                                                                   44         15         15         35         13
  Node count, TASK                                                                  14
  Node count, TASKREF                                                               17
  Node count, TEXT                                                                            759        773        777        177
  Node count, TIME                                                                             29         29         29          4
  Node count, TOPSCOPE                                                                          1          1          1
  Node count, TRACEDECL                                                                      1081       1081       1081
  Node count, TRACEINC                                                                                   927        927
  Node count, TYPEDEF                                                               86
  Node count, TYPETABLE                                                              1          1          1          1
  Node count, UNPACKARRAYDTYPE                                                                  2          3          3
  Node count, VAR                                                                  827       4672       4662       4675       4268
  Node count, VARREF                                                              2599      22044      21895      30712      19690
  Node count, VARSCOPE                                                                       4452       4442
  Node count, VARXREF                                                               98
  Node count, WHILE                                                                  4          5          5          7          3
  Node count, WORDSEL                                                                                             12367       2840
  Node count, XOR                                                                    1          2          2          2          1

  Node pairs, ACTIVE_ALWAYS                                                                     3
  Node pairs, ACTIVE_ALWAYSPOST                                                                 1
  Node pairs, ACTIVE_ASSIGNPRE                                                                 27
  Node pairs, ACTIVE_ASSIGNW                                                                    2
  Node pairs, ACTIVE_INITIAL                                                                    1
  Node pairs, ADD_AND                                                                1          1          1         41         20
  Node pairs, ADD_ARRAYSEL                                                                      2          2          2          1
  Node pairs, ADD_CASTPARSE                                                          3
  Node pairs, ADD_CCAST                                                                                              65         26
  Node pairs, ADD_CONCAT                                                                       24         24
  Node pairs, ADD_CONST                                                             17         35         35         28          7
  Node pairs, ADD_EXTEND                                                                        6          6
  Node pairs, ADD_MEMBERSEL                                                          2
  Node pairs, ADD_MUL                                                                1                               12          3
  Node pairs, ADD_OR                                                                                                 99         33
  Node pairs, ADD_REPLICATE                                                         12
  Node pairs, ADD_SEL                                                                          11         11
  Node pairs, ADD_SELBIT                                                             1
  Node pairs, ADD_SHIFTL                                                             2          2          2          2
  Node pairs, ADD_VARREF                                                            37         63         63        131         50
  Node pairs, ALWAYSPOST_IF                                                                     1
  Node pairs, ALWAYS_ASSIGN                                                                   114
  Node pairs, ALWAYS_ASSIGNDLY                                                                  4
  Node pairs, ALWAYS_BEGIN                                                          48
  Node pairs, ALWAYS_CCALL                                                                      3
  Node pairs, ALWAYS_IF                                                              1         17
  Node pairs, ALWAYS_SENTREE                                                        25
  Node pairs, AND_ADD                                                                1          2          2         10          3
  Node pairs, AND_AND                                                                          48         48       1071        103
  Node pairs, AND_ARRAYSEL                                                                     16         20         20          8
  Node pairs, AND_CCAST                                                                                             273         59
  Node pairs, AND_CMATH                                                                                               6
  Node pairs, AND_COND                                                                          2          2          4          2
  Node pairs, AND_CONDBOUND                                                                                           4          1
  Node pairs, AND_CONST                                                             11         26         30       5367       1113
  Node pairs, AND_EQ                                                                          201        207        202         54
  Node pairs, AND_INSIDE                                                             2
  Node pairs, AND_MEMBERSEL                                                          6
  Node pairs, AND_MODDIV                                                                                              5          1
  Node pairs, AND_MUL                                                                                                74         36
  Node pairs, AND_NEGATE                                                                                             12          6
  Node pairs, AND_NEQ                                                                           1          1          4          3
  Node pairs, AND_NOT                                                               24        112        125        262         56
  Node pairs, AND_OR                                                                           28         32        546        150
  Node pairs, AND_SEL                                                                          84         89
  Node pairs, AND_SELBIT                                                             8
  Node pairs, AND_SHIFTL                                                                                            561         57
  Node pairs, AND_SHIFTR                                                                                           1633        277
  Node pairs, AND_SUB                                                                                                 4
  Node pairs, AND_VARREF                                                            14        128        130         54          9
  Node pairs, AND_WORDSEL                                                                                          3204        622
  Node pairs, ARG_COND                                                               2
  Node pairs, ARG_CONST                                                              3
  Node pairs, ARG_LOGAND                                                             1
  Node pairs, ARG_MEMBERSEL                                                          2
  Node pairs, ARG_PARSEREF                                                         149
  Node pairs, ARG_REPLICATE                                                          2
  Node pairs, ARG_VARREF                                                            76
  Node pairs, ARRAYSEL_AND                                                                                           16          7
